"#","Reference","Value","Platan SKU","Qty","DNP","Описание"
"1","C1,C3","10n 50V","2014968057 ","2","","GRM188R60J106ME47D, Конденсаторы керамические"
"2","C2","68 uF 50V","2015341406 ","1","","EEHZA1H680P, SMD эл-лит 50V 68uF /8*10.2/105 C Polymer Hybrid"
"3","C4","1200pF 50V","2014969669 ","1","","CC1206JRNPO9BN122, Конденсаторы керамические"
"4","C5","330 uF 35V","403869617 ","1","","EEEFK1V331P, ЧИП электролит.конд.  330мкф  35В 105гр,  10x10.2(G) 2т.ч"
"5","D1,D2,D4","SS520","2014859847 ","3","","SS520, SMT выпрямительный диод Шоттки, 200В, 5А (DO-214AB (SMC))"
"6","D3","LED","2015697923 ","1","","L-C170GCT, светодиод зеленый 12.5мКд SMD 0805"
"7","F1","MF-R300, 3.0A","38409 ","1","","MF-R300, 3.0A самовосстанавливающийся предохранитель"
"8","L1","47uH","2016862973 ","1","","IHLP6767DZER470M11, SMD 17.15*17.15*4"
"9","R1","1K","2010220531 ","1","","CR0805-FX-1001ELF, чип резистор 0805 1кОм"
"10","R2","3.09K","2010018418 ","1","","RC0805FR-073K09L, 0805, чип 0805      3.09К 1%"
"11","R3","200","2014969702 ","1","","RC0805FR-07200RL, Резисторы постоянные"
"12","U1","LM2596S","344157231 ","1","","LM2596SX-ADJ, TO263-5"
